address,tx_count,total_received,total_sent,max_tx_size,avg_tx_size,net_balance_change,unique_counterparties,tx_per_day,active_days,burstiness,collateral_ratio,smart_contract_flag,high_value_ratio,counterparty_diversity,inflow_outflow_asymmetry,timing_entropy,velocity_hours,IsolationForest,OneClassSVM,LOF,Ensemble,IsolationForest_score
addr_test1wp867cwenl586mcuft35d7qy56ucyjqg5pqy00vyd7c75hcq7cn8u,28,84.0,84.0,6.0,6.0,0.0,6,28.0,1,159512.46913580247,0.0,1,0.0,0.2142857142857142,0.0,1.931560284283316,0.0,1,1,1,1,0.13843379430369462
addr_test1wpcyj0yjzsp9qawt2esgea5efjdd029fzcp9qprf666jzfqt9cr4e,2,9.0,5.0,5.0,4.666666666666667,4.0,2,2.0,1,9025.0,0.0,1,0.0,1.0,0.2857142857142857,-0.0,0.0,1,1,1,1,0.14675594164035788
addr_test1wpe5ghttuandwx2v5vukd8art24pj6g2fwtny64xl9dnp2cz7jgu0,6,9.0,9.0,3.0,3.0,0.0,6,6.0,1,3644369.84,0.0,1,0.0,1.0,0.0,1.584962500721156,1.0,1,1,1,1,0.13299576887175912
addr_test1wpeecpsjvtfu4uumvcpksn0fg3tje23y8jq8l2l4a8d7e8se7eryj,4,6.0,6.0,3.0,3.0,0.0,6,4.0,1,4103174.2222222234,0.0,1,0.0,1.5,0.0,1.0,1.0,1,1,1,1,0.11662660818050274
addr_test1wperr0p4kc9w7mwlf23037xq5wz3y8hmfntptv6jy56fmvq50espl,6,9.0,9.0,3.0,3.0,0.0,6,6.0,1,4406466.64,0.0,1,0.0,1.0,0.0,1.584962500721156,1.0,1,1,1,1,0.14164290243966365
addr_test1wpex0tw5j299xkwa0teknpzwlj4eqz62q5fjljyngwdvxlqw4eqmt,4,6.0,6.0,3.0,3.0,0.0,6,4.0,1,4424331.555555556,0.0,1,0.0,1.5,0.0,1.0,1.0,1,-1,1,1,0.099570115004388
addr_test1wpgexmeunzsykesf42d4eqet5yvzeap6trjnflxqtkcf66g0kpnxt,140,0.0,4822.9762,34.44983,34.44983,-4822.9762,2,140.0,1,4369.574970239635,0.0,1,0.0,0.0142857142857142,-1.0,1.9806945621946903,,-1,1,-1,-1,-0.0195741447039961
addr_test1wpjv7a9cse3k4pd44c0lc42yenmcyzaqtgr3rs9xu8l2v6sn24smp,4,12.0,12.0,6.0,6.0,0.0,6,4.0,1,4111482.888888888,0.0,1,0.0,1.5,0.0,1.0,0.0,1,1,1,1,0.12879493545708331
addr_test1wpmae9vv3d5757y6lgfy5z7qk9du8teqhvd7xl53ftuzmjcllkwrs,26,39.0,39.0,3.0,3.0,0.0,6,26.0,1,178090.6496,0.0,1,0.0,0.2307692307692307,0.0,1.95006375643621,0.0,1,1,1,1,0.14094976007459775
addr_test1wpmcnpr36xjk7exddlg3pcypc8u3hykvzjz0yjq2ldypjzs630u48,28,35205095.291142,35205095.291142,2514649.663653,2514649.663653,0.0,6,28.0,1,157933.9259259259,0.0,1,1.0,0.2142857142857142,0.0,1.9852281360342516,0.0,-1,-1,-1,-1,-0.25937627785080986
