address,degree,weighted_degree,clustering_coefficient,betweenness_centrality
addr_test1wqfwyq6csgtlfadwj8ezw6my4x2j7qrw8j30m33z6pvefdscdqgmj,6,36.0,0.048919427688887976,0.0
addr_test1wzdk0xh4d79x3m8rjflefmfqq0975pqu02zcxlea2xdamfsq2k43m,6,36.0,0.048919427688887976,0.0
addr_test1qq50sks40pnh5tkth68m3lrvzvlepaew6prl3u8u69nd3zu9rk398gms2eh8snp58c9skehndz9ps8ff5rfns7mfafnqt4qk0e,2,2.0,0.0058823529411764705,0.0
addr_test1qz9jfhecgrlw4yw8wknddnnpw2ah0t3n967zz9ffrssl3pdct9f58ux0fyazdlzgl3vuua05dcqnengw4vm6n0cxl4fq47fdde,2,2.0,0.0058823529411764705,0.0
addr_test1zpt24v32hpd88w3l0wmwg3mhs9lm5dzrnn0d22n6seznmjy9rk398gms2eh8snp58c9skehndz9ps8ff5rfns7mfafnqf5lz9g,3,9.0,0.00196078431372549,0.0008587376556462001
addr_test1wpxs63au9yehzl8uhwkyjt84zhrf9slaflhhnvjtg7ukhks8sxm0t,6,168.0,0.19037453367767443,0.0
addr_test1wqt2v8zcpjldyu2zcwz3yuu8p4wpk0hzaqwthh23qgs5xgg7266qn,12,217.0,0.06820186324058798,0.0016829724590566157
addr_test1wrswzjuscfnne4wqpuqpckpvjehj9m344sy886kttgwq2wc8g2xa8,6,168.0,0.19037453367767443,0.0
addr_test1wz05ca0ksvk9q2jmacy7m28n9qnfelh3h68cw0s60w5nhwgwu6d9y,6,168.0,0.19037453367767443,0.0
addr_test1vryumtuh5u0zkk3e7cvv4f568umz5xrt8077cz5ehemjzzcu0edde,2,2.0,0.0,0.0032202662086732504
addr_test1qrc7cs8cheuertfezmfpgvx29zkxsdnvkkuwv8zwpccke9fn0v303jq75nv6v9fd663jh925nkq69c3atmrm72v64mhs8xh49z,1,1.0,0.0,0.0
addr_test1qrrhnm2qjzlj3tjxugjutm46dn2urfrwjhk6t6x70m5lg9tx2u29lwmh79hdqadrshxp2akncef7yd85fhdnrx89n83sd337nr,4,11.0,0.002470433431166418,0.0005367110347788751
addr_test1wrpjqever8rezsvkc05cew572uw6w0wakk6caupycp4kf5g2zalzc,2,6.0,0.014822600586998507,0.0
addr_test1wz46tk8vdvlq6a5cccgysw7nfw4r0frnxdmkhyxaxgxal0guru5sm,2,4.0,0.014822600586998507,0.00016101331043366253
addr_test1qpfpxx2m56u7td8duem6kkcdw25kfyd0jcv7g7hwup797p5d0v7l822u4xea8zty37320uz3nwdl88agexcj9n7s986q5j40uk,4,12.0,0.0,0.0012881064834693002
addr_test1wpex0tw5j299xkwa0teknpzwlj4eqz62q5fjljyngwdvxlqw4eqmt,6,24.0,0.03460847760768137,0.00011405109489051096
addr_test1wrem0cch36ywuyfmf9zlmh0keayhw4txnkf0nsav4kmt2hsg4whlw,6,24.0,0.03460847760768137,0.00011405109489051096
addr_test1wrsx6gftxpsy90esyks0ddjd4636g2v5a63t47ztzrd2r3cfekl8s,6,24.0,0.03460847760768137,0.00011405109489051096
